season_id,student_id,stage,commission_id,max_score,evaluator_count,score_range,avg_score,range_pct_of_stage,student_name,topic_area,topic_title
S2026_SPRING,STU_0130,FIRST_COMMISSION_DEFENSE,S2026_SPRING_COM_04,20.0,4,4.5,14.75,22.5,Буян.Идэр,E-Commerce Systems,Online marketplace prototype for local businesses
S2026_SPRING,STU_0100,FIRST_COMMISSION_DEFENSE,S2026_SPRING_COM_09,20.0,3,4.0,13.833333333333334,20.0,Ган.Болор,Education Technology,Learning progress dashboard for undergraduate courses
S2026_SPRING,STU_0083,FIRST_COMMISSION_DEFENSE,S2026_SPRING_COM_03,20.0,3,4.0,14.0,20.0,Бат.Номин,E-Commerce Systems,Online marketplace prototype for local businesses
S2026_SPRING,STU_0078,FINAL_DEFENSE,S2026_SPRING_COM_05,35.0,4,7.0,30.125,20.0,Болд.Оюун,Cybersecurity,Secure authentication model for student information systems
S2026_SPRING,STU_0061,FIRST_COMMISSION_DEFENSE,S2026_SPRING_COM_05,20.0,4,4.0,13.25,20.0,Алтан.Хулан,E-Commerce Systems,Shopping cart and order tracking system
S2026_SPRING,STU_0089,PRELIMINARY_DEFENSE,S2026_SPRING_COM_01,25.0,3,4.5,18.833333333333332,18.0,Буян.Номин,Education Technology,Digital rubric system for student assessment
S2026_SPRING,STU_0217,PRELIMINARY_DEFENSE,S2026_SPRING_COM_05,25.0,4,4.5,18.75,18.0,Мөнх.Идэр,E-Commerce Systems,Shopping cart and order tracking system
S2025_WINTER,STU_0036,PRELIMINARY_DEFENSE,S2025_WINTER_COM_01,25.0,3,4.5,18.0,18.0,Сайн.Дөлгөөн,Computer Graphics,Interactive visualization tool for academic data
S2026_SPRING,STU_0200,PRELIMINARY_DEFENSE,S2026_SPRING_COM_05,25.0,4,4.5,19.625,18.0,Цогт.Оюун,Web Systems,Role-based dashboard for university information systems
S2026_SPRING,STU_0109,FIRST_COMMISSION_DEFENSE,S2026_SPRING_COM_04,20.0,4,3.5,15.375,17.5,Очир.Наран,Computer Graphics,Graphics-based simulation for learning environments
S2026_SPRING,STU_0133,FIRST_COMMISSION_DEFENSE,S2026_SPRING_COM_07,20.0,3,3.5,13.666666666666666,17.5,Очир.Ганзориг,E-Commerce Systems,Online marketplace prototype for local businesses
S2026_SPRING,STU_0145,FIRST_COMMISSION_DEFENSE,S2026_SPRING_COM_06,20.0,3,3.5,15.0,17.5,Буян.Саруул,AI/Data Analysis,Data analytics dashboard for academic evaluation
S2026_SPRING,STU_0191,FINAL_DEFENSE,S2026_SPRING_COM_05,35.0,4,6.0,27.5,17.142857142857142,Ням.Бат-Эрдэнэ,E-Commerce Systems,Shopping cart and order tracking system
S2026_SPRING,STU_0188,FINAL_DEFENSE,S2026_SPRING_COM_04,35.0,3,6.0,30.166666666666668,17.142857142857142,Жаргал.Идэр,AI/Data Analysis,Statistical analysis of thesis defense scoring behavior
S2026_SPRING,STU_0112,FINAL_DEFENSE,S2026_SPRING_COM_09,35.0,4,6.0,26.875,17.142857142857142,Ням.Төгөлдөр,Cloud/Microservices,Containerized service architecture for student systems
S2025_WINTER,STU_0045,PRELIMINARY_DEFENSE,S2025_WINTER_COM_04,25.0,3,4.0,18.0,16.0,Ням.Ариунзаяа,Database Systems,Relational data model for defense score analysis
